State,District,PVI
Alabama,1,R+14
Alabama,2,R+18
Alabama,3,R+15
Alabama,4,R+23
Alabama,5,R+14
Alabama,6,R+28
Alabama,7,D+17
Alaska,AL,R+13
Arizona,1,R+3
Arizona,2,R+2
Arizona,3,D+7
Arizona,4,R+16
Arizona,5,R+16
Arizona,6,R+10
Arizona,7,D+12
Arizona,8,R+13
Arizona,9,R+1
Arkansas,1,R+7
Arkansas,2,R+5
Arkansas,3,R+16
Arkansas,4,R+9
California,1,R+10
California,2,D+19
California,3,D+1
California,4,R+10
California,5,D+18
California,6,D+13
California,7,R+3
California,8,R+12
California,9,D+2
California,10,R+5
California,11,D+17
California,12,D+35
California,13,D+37
California,14,D+23
California,15,D+15
California,16,D+2
California,17,D+18
California,18,D+18
California,19,D+16
California,20,D+19
California,21,R+3
California,22,R+12
California,23,R+18
California,24,D+3
California,25,R+5
California,26,D+2
California,27,D+9
California,28,D+19
California,29,D+21
California,30,D+13
California,31,D+2
California,32,D+9
California,33,D+12
California,34,D+28
California,35,D+10
California,36,R+3
California,37,D+33
California,38,D+9
California,39,R+7
California,40,D+25
California,41,D+3
California,42,R+12
California,43,D+23
California,44,D+29
California,45,R+8
California,46,D+3
California,47,D+5
California,48,R+8
California,49,R+5
California,50,R+14
California,51,D+11
California,52,D+1
California,53,D+7
Colorado,1,D+17
Colorado,2,D+8
Colorado,3,R+4
Colorado,4,R+12
Colorado,5,R+15
Colorado,6,R+1
Colorado,7,D+3
Connecticut,1,D+12
Connecticut,2,D+6
Connecticut,3,D+9
Connecticut,4,D+5
Connecticut,5,D+2
Delaware,AL,D+7
Florida,1,R+21
Florida,2,R+3
Florida,3,R+12
Florida,4,R+17
Florida,5,D+16
Florida,6,R+6
Florida,7,R+5
Florida,8,R+8
Florida,9,D+4
Florida,10,R+7
Florida,11,R+8
Florida,12,R+6
Florida,13,R+1
Florida,14,D+11
Florida,15,R+8
Florida,16,R+5
Florida,17,R+10
Florida,18,R+1
Florida,19,R+11
Florida,20,D+28
Florida,21,D+12
Florida,22,D+5
Florida,23,D+11
Florida,24,D+33
Florida,25,R+9
Florida,26,R+4
Florida,27,R+6
Georgia,1,R+9
Georgia,2,D+4
Georgia,3,R+19
Georgia,4,D+17
Georgia,5,D+31
Georgia,6,R+12
Georgia,7,R+16
Georgia,8,R+15
Georgia,9,R+27
Georgia,10,R+14
Georgia,11,R+19
Georgia,12,R+9
Georgia,13,D+9
Georgia,14,R+24
Hawaii,1,D+11
Hawaii,2,D+14
Idaho,1,R+18
Idaho,2,R+17
Illinois,1,D+28
Illinois,2,D+27
Illinois,3,D+5
Illinois,4,D+26
Illinois,5,D+16
Illinois,6,R+5
Illinois,7,D+37
Illinois,8,D+6
Illinois,9,D+15
Illinois,10,D+8
Illinois,11,D+5
Illinois,12,D+2
Illinois,13,D+1
Illinois,14,R+6
Illinois,15,R+11
Illinois,16,R+4
Illinois,17,D+6
Illinois,18,R+10
Indiana,1,D+9
Indiana,2,R+7
