State,District,PVI
Alabama,1,R+12
Alabama,2,R+12
Alabama,3,R+3
Alabama,4,R+12
Alabama,5,R+5
Alabama,6,R+25
Alabama,7,D+17
Alaska,99,R+18
Arizona,1,R+3
Arizona,2,R+8
Arizona,3,R+6
Arizona,4,D+14
Arizona,5,R+6
Arizona,6,R+12
Arizona,7,D+10
Arizona,8,R+2
Arkansas,1,D+1
Arkansas,2,R+1
Arkansas,3,R+12
Arkansas,4,EVEN
California,1,D+7
California,2,R+15
California,3,R+7
California,4,R+13
California,5,D+13
California,6,D+17
California,7,D+18
California,8,D+34
California,9,D+35
California,10,D+7
California,11,R+4
California,12,D+20
California,13,D+19
California,14,D+14
California,15,D+12
California,16,D+15
California,17,D+14
California,18,D+4
California,19,R+10
California,20,D+5
California,21,R+13
California,22,R+16
California,23,D+7
California,24,R+6
California,25,R+7
California,26,R+5
California,27,D+12
California,28,D+25
California,29,D+10
California,30,D+21
California,31,D+30
California,32,D+18
California,33,D+36
California,34,D+23
California,35,D+33
California,36,D+9
California,37,D+28
California,38,D+21
California,39,D+13
California,40,R+8
California,41,R+8
California,42,R+11
California,43,D+15
California,44,R+5
California,45,R+3
California,46,R+7
California,47,D+7
California,48,R+10
California,49,R+10
California,50,R+6
California,51,D+8
California,52,R+9
California,53,D+10
Colorado,1,D+15
Colorado,2,D+5
Colorado,3,R+8
Colorado,4,R+11
Colorado,5,R+17
Colorado,6,R+12
Colorado,7,EVEN
Connecticut,1,D+15
Connecticut,2,D+7
Connecticut,3,D+13
Connecticut,4,D+5
Connecticut,5,D+4
Delaware,99,D+7
Florida,1,R+19
Florida,2,R+3
Florida,3,D+15
Florida,4,R+16
Florida,5,R+4
Florida,6,R+9
Florida,7,R+4
Florida,8,R+4
Florida,9,R+4
Florida,10,D+1
Florida,11,D+11
Florida,12,R+5
Florida,13,R+5
Florida,14,R+12
Florida,15,R+4
Florida,16,R+3
Florida,17,D+35
Florida,18,R+7
Florida,19,D+23
Florida,20,D+19
Florida,21,R+8
Florida,22,D+2
Florida,23,D+30
Florida,24,R+4
Florida,25,R+5
Georgia,1,R+15
Georgia,2,R+1
Georgia,3,R+3
Georgia,4,D+20
Georgia,5,D+21
Georgia,6,R+19
Georgia,7,R+22
Georgia,8,R+20
Georgia,9,R+18
Georgia,10,R+21
Georgia,11,R+2
Georgia,12,D+4
Georgia,13,D+8
Hawaii,1,D+8
Hawaii,2,D+11
Idaho,1,R+21
Idaho,2,R+21
Illinois,1,D+34
Illinois,2,D+33
Illinois,3,D+9
Illinois,4,D+29
Illinois,5,D+16
Illinois,6,R+5
Illinois,7,D+34
Illinois,8,R+7
Illinois,9,D+18
Illinois,10,D+2
Illinois,11,R+1
Illinois,12,D+5
Illinois,13,R+7
Illinois,14,R+6
Illinois,15,R+6
Illinois,16,R+6
Illinois,17,D+5
Illinois,18,R+6
Illinois,19,R+8
Indiana,1,D+7
Indiana,2,R+5
Indiana,3,R+17
Indiana,4,R+18
Indiana,5,R+20
Indiana,6,R+10
Indiana,7,D+6
Indiana,8,R+8
Indiana,9,R+8
Iowa,1,D+4
Iowa,2,D+5
Iowa,3,EVEN
Iowa,4,R+1
Iowa,5,R+9
Kansas,1,R+20
Kansas,2,R+7
Kansas,3,R+6
Kansas,4,R+12
Kentucky,1,R+9
Kentucky,2,R+13
Kentucky,3,D+1
Kentucky,4,R+12
Kentucky,5,R+8
Kentucky,6,R+7
Louisiana,1,R+18
Louisiana,2,D+27
Louisiana,3,R+4
Louisiana,4,R+6
Louisiana,5,R+9
Louisiana,6,R+6
Louisiana,7,R+7
Maine,1,D+4
Maine,2,D+1
Maryland,1,R+9
Maryland,2,D+8
Maryland,3,D+7
Maryland,4,D+28
Maryland,5,D+8
Maryland,6,R+13
Maryland,7,D+24
Maryland,8,D+18
Massachusetts,1,D+13
Massachusetts,2,D+12
Massachusetts,3,D+13
Massachusetts,4,D+19
Massachusetts,5,D+11
Massachusetts,6,D+11
Massachusetts,7,D+19
Massachusetts,8,D+33
Massachusetts,9,D+14
Massachusetts,10,D+8
Michigan,1,R+4
Michigan,2,R+11
Michigan,3,R+11
Michigan,4,R+5
Michigan,5,D+12
Michigan,6,R+4
Michigan,7,R+3
Michigan,8,R+2
Michigan,9,R+2
Michigan,10,R+5
Michigan,11,R+2
Michigan,12,D+12
Michigan,13,D+31
Michigan,14,D+31
Michigan,15,D+11
Minnesota,1,R+3
Minnesota,2,R+4
Minnesota,3,R+2
Minnesota,4,D+10
Minnesota,5,D+18
Minnesota,6,R+6
Minnesota,7,R+8
Minnesota,8,D+3
Mississippi,1,R+10
Mississippi,2,D+8
Mississippi,3,R+15
Mississippi,4,R+17
Missouri,1,D+23
Missouri,2,R+10
Missouri,3,D+5
Missouri,4,R+10
Missouri,5,D+12
Missouri,6,R+5
Missouri,7,R+14
Missouri,8,R+11
Missouri,9,R+7
Montana,99,R+14
Nebraska,1,R+12
Nebraska,2,R+10
Nebraska,3,R+24
Nevada,1,D+8
Nevada,2,R+11
Nevada,3,EVEN
New Hampshire,1,R+2
New Hampshire,2,EVEN
New Jersey,1,D+15
New Jersey,2,D+6
New Jersey,3,D+5
New Jersey,4,D+2
New Jersey,5,R+4
New Jersey,6,D+14
New Jersey,7,R+1
New Jersey,8,D+12
New Jersey,9,D+15
New Jersey,10,D+34
New Jersey,11,R+6
New Jersey,12,D+8
New Jersey,13,D+24
New Mexico,1,EVEN
New Mexico,2,R+6
New Mexico,3,D+4
New York,1,D+4
New York,2,D+9
New York,3,D+4
New York,4,D+11
New York,5,D+19
New York,6,D+39
New York,7,D+28
New York,8,D+30
New York,9,D+19
New York,10,D+42
New York,11,D+40
New York,12,D+34
New York,13,D+4
New York,14,D+25
New York,15,D+43
New York,16,D+44
New York,17,D+22
New York,18,D+10
New York,19,R+1
New York,20,R+4
New York,21,D+9
New York,22,D+5
New York,23,R+1
New York,24,R+1
New York,25,D+3
New York,26,R+4
New York,27,D+6
New York,28,D+13
New York,29,R+6
North Carolina,1,D+7
North Carolina,2,R+4
North Carolina,3,R+15
North Carolina,4,D+4
North Carolina,5,R+17
North Carolina,6,R+18
North Carolina,7,R+2
North Carolina,8,R+4
North Carolina,9,R+14
North Carolina,10,R+16
North Carolina,11,R+10
North Carolina,12,D+7
North Carolina,13,EVEN
North Dakota,99,R+15
Ohio,1,R+3
Ohio,2,R+15
Ohio,3,R+4
Ohio,4,R+14
Ohio,5,R+12
Ohio,6,R+1
Ohio,7,R+7
Ohio,8,R+13
Ohio,9,D+7
Ohio,10,D+6
Ohio,11,D+32
Ohio,12,R+3
Ohio,13,D+4
Ohio,14,R+4
Ohio,15,R+5
Ohio,16,R+6
Ohio,17,D+13
Ohio,18,R+8
Oklahoma,1,R+13
Oklahoma,2,R+3
Oklahoma,3,R+16
Oklahoma,4,R+12
Oklahoma,5,R+12
Oregon,1,D+3
Oregon,2,R+14
Oregon,3,D+15
Oregon,4,R+3
Oregon,5,R+1
Pennsylvania,1,D+35
Pennsylvania,2,D+38
Pennsylvania,3,R+3
Pennsylvania,4,R+3
Pennsylvania,5,R+11
Pennsylvania,6,EVEN
Pennsylvania,7,D+1
Pennsylvania,8,D+2
Pennsylvania,9,R+15
Pennsylvania,10,R+8
Pennsylvania,11,D+5
Pennsylvania,12,D+5
Pennsylvania,13,D+7
Pennsylvania,14,D+21
Pennsylvania,15,EVEN
Pennsylvania,16,R+14
Pennsylvania,17,R+8
Pennsylvania,18,R+3
Pennsylvania,19,R+13
Rhode Island,1,D+17
Rhode Island,2,D+14
South Carolina,1,R+11
South Carolina,2,R+10
South Carolina,3,R+15
South Carolina,4,R+16
South Carolina,5,R+6
South Carolina,6,D+9
South Dakota,99,R+12
Tennessee,1,R+12
Tennessee,2,R+11
Tennessee,3,R+8
Tennessee,4,R+1
Tennessee,5,D+7
Tennessee,6,EVEN
Tennessee,7,R+10
Tennessee,8,D+1
Tennessee,9,D+14
Texas,1,R+14
Texas,2,R+13
Texas,3,R+23
Texas,4,R+20
Texas,5,R+12
Texas,6,R+17
Texas,7,R+18
Texas,8,R+28
Texas,9,R+6
Texas,10,D+3
Texas,11,R+18
Texas,12,R+17
Texas,13,R+25
Texas,14,R+16
Texas,15,D+4
Texas,16,D+9
Texas,17,R+22
Texas,18,D+24
Texas,19,R+26
Texas,20,D+7
Texas,21,R+23
Texas,22,R+18
Texas,23,R+9
Texas,24,D+4
Texas,25,D+1
Texas,26,R+24
Texas,27,D+1
Texas,28,D+9
Texas,29,D+10
Texas,30,D+19
Texas,31,R+22
Texas,32,R+15
Utah,1,R+22
Utah,2,R+19
Utah,3,R+26
Vermont,99,D+5
Virginia,1,R+10
Virginia,2,R+6
Virginia,3,D+17
Virginia,4,R+5
Virginia,5,R+7
Virginia,6,R+12
Virginia,7,R+12
Virginia,8,D+10
Virginia,9,R+7
Virginia,10,R+8
Virginia,11,R+4
Washington,1,D+5
Washington,2,D+1
Washington,3,R+1
Washington,4,R+15
Washington,5,R+9
Washington,6,D+4
Washington,7,D+27
Washington,8,EVEN
Washington,9,D+5
West Virginia,1,R+6
West Virginia,2,R+5
West Virginia,3,D+1
Wisconsin,1,R+3
Wisconsin,2,D+11
Wisconsin,3,D+2
Wisconsin,4,D+18
Wisconsin,5,R+14
Wisconsin,6,R+6
Wisconsin,7,EVEN
Wisconsin,8,R+5
Wyoming,99,R+21
