State,District,PVI
Alabama,1,R+15
Alabama,2,R+17
Alabama,3,R+16
Alabama,4,R+28
Alabama,5,R+17
Alabama,6,R+28
Alabama,7,D+20
Alaska,AL,R+12
Arizona,1,R+ 4
Arizona,2,R+ 3
Arizona,3,D+ 8
Arizona,4,R+20
Arizona,5,R+17
Arizona,6,R+12
Arizona,7,D+16
Arizona,8,R+15
Arizona,9,R+ 1
Arkansas,1,R+14
Arkansas,2,R+ 8
Arkansas,3,R+19
Arkansas,4,R+15
California,1,R+10
California,2,D+20
California,3,D+ 3
California,4,R+10
California,5,D+19
California,6,D+18
California,7,EVEN
California,8,R+10
California,9,D+ 6
California,10,R+ 1
California,11,D+17
California,12,D+34
California,13,D+37
California,14,D+23
California,15,D+16
California,16,D+ 7
California,17,D+20
California,18,D+18
California,19,D+19
California,20,D+21
California,21,D+ 2
California,22,R+10
California,23,R+16
California,24,D+ 4
California,25,R+ 3
California,26,D+ 4
California,27,D+11
California,28,D+20
California,29,D+25
California,30,D+14
California,31,D+ 5
California,32,D+12
California,33,D+11
California,34,D+30
California,35,D+15
California,36,R+ 1
California,37,D+34
California,38,D+12
California,39,R+ 5
California,40,D+29
California,41,D+ 9
California,42,R+10
California,43,D+26
California,44,D+32
California,45,R+ 7
California,46,D+ 9
California,47,D+ 8
California,48,R+ 7
California,49,R+ 4
California,50,R+14
California,51,D+16
California,52,D+ 2
California,53,D+10
Colorado,1,D+18
Colorado,2,D+ 8
Colorado,3,R+ 5
Colorado,4,R+11
Colorado,5,R+13
Colorado,6,D+ 1
Colorado,7,D+ 5
Connecticut,1,D+13
Connecticut,2,D+ 5
Connecticut,3,D+11
Connecticut,4,D+ 5
Connecticut,5,D+ 3
Delaware,AL,D+ 8
Florida,1,R+21
Florida,2,R+ 6
Florida,3,R+14
Florida,4,R+19
Florida,5,D+21
Florida,6,R+ 9
Florida,7,R+ 4
Florida,8,R+ 9
Florida,9,D+ 8
Florida,10,R+ 6
Florida,11,R+11
Florida,12,R+ 7
Florida,13,R+ 1
Florida,14,D+13
Florida,15,R+ 6
Florida,16,R+ 6
Florida,17,R+10
Florida,18,R+ 3
Florida,19,R+12
Florida,20,D+29
Florida,21,D+10
Florida,22,D+ 3
Florida,23,D+ 9
Florida,24,D+34
Florida,25,R+ 5
Florida,26,R+ 1
Florida,27,R+ 2
Georgia,1,R+ 9
Georgia,2,D+ 6
Georgia,3,R+19
Georgia,4,D+21
Georgia,5,D+32
Georgia,6,R+14
Georgia,7,R+14
Georgia,8,R+15
Georgia,9,R+30
Georgia,10,R+14
Georgia,11,R+19
Georgia,12,R+ 9
Georgia,13,D+16
Georgia,14,R+26
Hawaii,1,D+18
Hawaii,2,D+21
Idaho,1,R+18
Idaho,2,R+17
Illinois,1,D+28
Illinois,2,D+29
Illinois,3,D+ 5
Illinois,4,D+29
Illinois,5,D+16
Illinois,6,R+ 4
Illinois,7,D+36
Illinois,8,D+ 8
Illinois,9,D+15
Illinois,10,D+ 8
Illinois,11,D+ 8
Illinois,12,EVEN
Illinois,13,EVEN
Illinois,14,R+ 5
Illinois,15,R+14
Illinois,16,R+ 4
Illinois,17,D+ 7
Illinois,18,R+11
Indiana,1,D+10
Indiana,2,R+ 6
Indiana,3,R+13
Indiana,4,R+11
Indiana,5,R+ 9
Indiana,6,R+12
Indiana,7,D+13
Indiana,8,R+ 8
Indiana,9,R+ 9
Iowa,1,D+ 5
Iowa,2,D+ 4
Iowa,3,EVEN
Iowa,4,R+ 5
Kansas,1,R+23
Kansas,2,R+ 8
Kansas,3,R+ 6
Kansas,4,R+14
Kentucky,1,R+18
Kentucky,2,R+16
Kentucky,3,D+ 4
Kentucky,4,R+16
Kentucky,5,R+25
Kentucky,6,R+ 9
Louisiana,1,R+26
Louisiana,2,D+23
Louisiana,3,R+19
Louisiana,4,R+13
Louisiana,5,R+15
